,lat,lon,name
139,49.0580042,-122.4919543,White Spot
140,49.3251311,-123.1242373,Pho Japolo
141,49.2106257,-123.0923821,Neptune Chinese Kitchen
142,49.2129995,-122.9211009,White Spot
143,49.2850132,-123.1179138,La Taqueria
144,49.3125664,-123.0822132,Boston Pizza
145,49.3124327,-123.08221,Freshii
146,49.1190026,-122.7321747,Umami Sushi
147,49.2872474,-123.1189254,Meat & Bread
148,49.2232913,-122.942881,Cattle Cafe
149,49.1326485,-123.0915094,Freshii
150,49.2041008,-122.9092522,Pizzeria Ludica
151,49.2800699,-122.9697686,White Spot
152,49.1661003,-122.664152,The Chopped Leaf
153,49.2672796,-123.1131132,De Dutch
154,49.2269711,-123.1287459,Phở Hòa
155,49.1060882,-122.6560645,The Buffet
156,49.2803076,-123.1179254,Jinya Ramen Bar
157,49.0459218,-122.7821538,White Spot
158,49.1905117,-122.9504389,Nando's
159,49.0244881,-123.0691535,White Spot
160,49.1736004,-123.1475891,Freshii
161,49.2761557,-123.1281645,White Spot
162,49.2722881,-123.1548112,Hapa Izakaya
163,49.2529024,-123.0822591,Green Lemongrass
164,49.2778449,-123.1276301,Nando's
165,49.2792951,-123.0978928,Jang Mo Jib Korean Restaurant
166,49.220176,-122.6629221,Panago Pizza
167,49.2201339,-122.6632333,Pho Tau Bay
168,49.3116539,-123.0803449,Freshslice Pizza
169,49.2810313,-123.0585459,X-Site Grill & Bistro
170,49.2047372,-123.1308338,White Spot
171,49.204456,-123.1393553,Thai Son Restaurant
172,49.2121488,-123.1409022,Pizza Hut
173,49.2116748,-123.1401802,Sushi King House
174,49.1881812,-123.1116797,Denny's
175,49.1916688,-123.1084828,Neptune Express
176,49.1790017,-123.1336545,Happy Tree House BBQ
177,49.179953,-123.1347099,Beijiang Restaurant
178,49.1814107,-123.1341625,Kung Fu Noodle
179,49.2778577,-122.9119847,Pizza Hut
180,49.1026873,-122.6456899,Freshii
181,49.2715608,-123.1548474,Basil Pasta Bar
182,49.1129138,-122.6681084,Cactus Club Cafe
183,49.1129178,-122.6625851,Nando's
184,49.1130445,-122.665058,Montana's
185,49.3078523,-123.0409549,White Spot
186,49.306933,-123.0345561,Freshii
187,49.2202683,-122.6496039,The Keg
188,49.2472107,-122.8935137,White Spot
189,49.1308844,-122.3180976,Little Saigon
190,49.2839422,-123.0998366,Deacon's Corner
191,49.189941,-122.8471754,Phở Hòa
192,49.279737,-123.126662,Tokyo Joe's
193,49.1194928,-122.6654561,Ricky's All Day Grill
194,49.285939,-123.1265796,Earl's
195,49.1699631,-122.5776098,The Little Donkey
196,49.1400974,-123.1383267,Freshslice Pizza
197,49.110595,-122.6768607,Boston Pizza
198,49.2964195,-122.803499,O Sushi
199,49.2790508,-122.8292606,Freshii
200,49.2610518,-123.2482235,Pacific Poke
201,49.1728469,-123.1361738,Neptune Seafood Restaurant
202,49.3262139,-123.1359438,Nando's
203,49.1876678,-122.5519418,Pizza
204,49.1645574,-122.6646365,Nando's
205,49.2373483,-122.8529856,Pho 99
206,49.2332102,-122.8521201,Cactus Club Cafe
207,49.28226,-122.7986273,Delicious Pho
208,49.2774955,-122.7913574,Sushi Oyama
209,49.2802313,-123.1103114,Fatburger
210,49.217228,-122.5936509,Red Robin
211,49.2903487,-123.1342776,Momo Sushi
212,49.2637686,-123.1632614,White Spot
213,49.212557,-122.9192842,The Chopped Leaf
214,49.137448,-122.8912035,Chopped Leaf
